,Company,TypeName,Cpu,Ram,Memory,Gpu,OpSys,Weight,Price,ppi,Touchscreen,IPS,HDD,SSD,Hybrid,Flash_Storage
0,Apple,Ultrabook,Intel Core i5,8,128GB SSD,Intel Iris,mac OS,1.37,119875,226.98,0,1,0,128,0,0
1,Apple,Ultrabook,Intel Core i5,8,128GB Flash Storage,Intel HD,mac OS,1.34,80437,127.68,0,0,0,0,0,128
2,HP,Notebook,Intel Core i5,8,256GB SSD,Intel HD,No OS,1.86,51451,141.21,0,0,0,256,0,0
4,Apple,Ultrabook,Intel Core i5,8,256GB SSD,Intel Iris,mac OS,1.37,161386,226.98,0,1,0,256,0,0
5,Acer,Notebook,AMD A-Series,4,500GB HDD,AMD Radeon,Windows 10,2.1,35792,100.45,0,0,500,0,0,0
7,Apple,Ultrabook,Intel Core i5,8,256GB Flash Storage,Intel HD,mac OS,1.34,103680,127.68,0,0,0,0,0,256
8,Asus,Ultrabook,Intel Core i7,16,512GB SSD,Nvidia GeForce,Windows 10,1.3,133773,157.35,0,0,0,512,0,0
9,Acer,Ultrabook,Intel Core i5,8,256GB SSD,Intel UHD,Windows 10,1.6,68900,157.35,0,1,0,256,0,0
10,HP,Notebook,Intel Core i5,4,500GB HDD,Intel HD,No OS,1.86,35246,100.45,0,0,500,0,0,0
11,HP,Notebook,Intel Core i3,4,500GB HDD,Intel HD,No OS,1.86,30870,141.21,0,0,500,0,0,0
13,Dell,Notebook,Intel Core i3,4,256GB SSD,AMD Radeon,Windows 10,2.2,44642,141.21,0,0,0,256,0,0
15,Apple,Ultrabook,Intel Core i5,8,256GB SSD,Intel Iris,mac OS,1.37,135880,226.98,0,1,0,256,0,0
16,Dell,Notebook,Intel Core i7,8,256GB SSD,AMD Radeon,Windows 10,2.2,66663,141.21,0,0,0,256,0,0
18,Lenovo,Notebook,Intel Core i3,8,1TB HDD,Nvidia GeForce,No OS,2.2,44651,141.21,0,0,1,0,0,0
19,Dell,Ultrabook,Intel Core i5,8,128GB SSD,Intel UHD,Windows 10,1.22,87601,165.63,1,1,0,128,0,0
20,Asus,Netbook,Other Intel Processor,2,32GB Flash Storage,Intel HD,Windows 10,0.98,17171,135.09,0,0,0,0,0,32
21,Lenovo,Gaming,Intel Core i5,8,128GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,2.5,89391,141.21,0,1,1,128,0,0
22,HP,Notebook,AMD E-Series,4,500GB HDD,AMD Radeon,No OS,1.86,23086,100.45,0,0,500,0,0,0
23,Dell,2 in 1 Convertible,Intel Core i5,8,256GB SSD,Intel UHD,Windows 10,1.62,73284,165.63,1,0,0,256,0,0
24,HP,Ultrabook,Intel Core i7,8,256GB SSD,Intel HD,Windows 10,1.91,58967,141.21,0,0,0,256,0,0
25,Dell,Notebook,Intel Core i3,4,1TB HDD,Intel HD,Windows 10,2.3,37460,100.45,0,0,1,0,0,0
26,Apple,Ultrabook,Intel Core i5,8,128GB Flash Storage,Intel HD,mac OS,1.35,98339,127.68,0,0,0,0,0,128
27,Dell,Notebook,Intel Core i5,8,256GB SSD,AMD Radeon,Windows 10,2.2,71584,141.21,0,0,0,256,0,0
28,Dell,Ultrabook,Intel Core i7,8,256GB SSD +  256GB SSD,Intel UHD,Windows 10,1.88,116145,141.21,0,0,0,512,0,0
29,HP,Notebook,Intel Core i5,8,1TB HDD,Nvidia GeForce,Windows 10,2.5,80174,127.34,0,0,1,0,0,0
31,Asus,Notebook,AMD E-Series,2,32GB Flash Storage,AMD Radeon,Windows 10,1.65,17807,111.94,0,0,0,0,0,32
32,HP,Notebook,AMD A-Series,4,500GB HDD,AMD Radeon,Windows 10,2.71,39282,127.34,0,0,500,0,0,0
33,Dell,Ultrabook,Intel Core i7,16,512GB SSD,Intel UHD,Windows 10,1.2,167238,276.05,1,0,0,512,0,0
34,Apple,Ultrabook,Intel Core i5,8,256GB Flash Storage,Intel HD,mac OS,1.35,89301,127.68,0,0,0,0,0,256
35,Lenovo,Notebook,Other Intel Processor,4,64GB Flash Storage,Intel HD,Windows 10,1.44,22281,111.94,0,0,0,0,0,64
36,Acer,Notebook,Intel Core i3,4,1TB HDD,Intel HD,Linux,2.1,32839,100.45,0,0,1,0,0,0
37,Dell,Notebook,Intel Core i5,8,128GB SSD +  1TB HDD,AMD Radeon,Windows 10,2.8,87601,127.34,0,1,1,128,0,0
38,HP,Notebook,Intel Core i5,4,1TB HDD,Intel HD,Windows 10,1.86,43728,100.45,0,0,1,0,0,0
39,HP,Notebook,Intel Core i5,8,256GB SSD,Nvidia GeForce,Windows 10,2.1,78653,141.21,0,0,0,256,0,0
40,Asus,Notebook,Intel Core i3,4,1TB HDD,Intel HD,Linux,2.0,34808,141.21,0,0,1,0,0,0
41,Dell,Gaming,Intel Core i7,16,256GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,2.65,134131,141.21,0,1,1,256,0,0
